rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,BELFAST CITY (GEORGE BEST),3758,3758,0,3589,3589,0,4.70883
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,BIRMINGHAM,9637,9637,0,11678,11678,0,-17.47731
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,BRISTOL,1091,1091,0,1296,1296,0,-15.8179
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,CARDIFF WALES,780,780,0,830,830,0,-6.0241
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,DURHAM TEES VALLEY,1930,1930,0,1516,1516,0,27.30871
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,GATWICK,15189,15189,0,14680,14680,0,3.4673
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,GLASGOW,32,0,32,186,186,0,-82.7957
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,HEATHROW,60076,60076,0,54597,54597,0,10.03535
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,HUMBERSIDE,1797,1797,0,2185,2185,0,-17.75744
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,JERSEY,354,354,0,388,388,0,-8.76289
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,KIRKWALL,5646,5599,47,4781,4781,0,18.09245
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,LEEDS BRADFORD,528,528,0,524,524,0,0.76336
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,LONDON CITY,3507,3507,0,4230,4230,0,-17.0922
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,LUTON,6267,6267,0,6286,6286,0,-0.30226
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,MANCHESTER,19070,19070,0,17523,17523,0,8.8284
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,NEWCASTLE,1106,1106,0,1128,1128,0,-1.95035
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,NEWQUAY,97,97,0,43,43,0,125.5814
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,NORWICH,4256,4256,0,3857,3857,0,10.34483
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,SCATSTA,9208,0,9208,8624,0,8624,6.7718
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,SOUTHAMPTON,1210,1210,0,841,841,0,43.87634
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,STORNOWAY,901,901,0,398,398,0,126.38191
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,SUMBURGH,14982,9230,5752,12394,9987,2407,20.88107
09/08/2018 15:58,201805,201705,Other Reporting Airports,ABERDEEN,WICK JOHN O GROATS,759,759,0,653,653,0,16.23277
09/08/2018 15:58,201805,201705,Other Reporting Airports,ALDERNEY,GUERNSEY,2510,2510,0,2778,2778,0,-9.64723
09/08/2018 15:58,201805,201705,Other Reporting Airports,ALDERNEY,SOUTHAMPTON,2182,2182,0,2125,2125,0,2.68235
09/08/2018 15:58,201805,201705,Other Reporting Airports,BARRA,GLASGOW,1569,1569,0,1507,1507,0,4.11413
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),ABERDEEN,3705,3705,0,3541,3541,0,4.63146
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BIRMINGHAM,25319,25319,0,21537,21537,0,17.56048
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),CARDIFF WALES,6232,6232,0,3832,3832,0,62.63048
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,13537,13537,0,12552,12552,0,7.84736
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EDINBURGH,13012,12973,39,14435,14435,0,-9.85798
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EXETER,3397,3397,0,3357,3357,0,1.19154
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GLASGOW,13100,13100,0,13787,13787,0,-4.98295
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),HEATHROW,56787,56787,0,55815,55815,0,1.74147
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),INVERNESS,3604,3604,0,3146,3146,0,14.55817
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),ISLE OF MAN,827,827,0,728,728,0,13.5989
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,15034,15034,0,13864,13864,0,8.43912
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LIVERPOOL (JOHN LENNON),2897,2897,0,2853,2853,0,1.54224
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LONDON CITY,17148,17148,0,10507,10507,0,63.20548
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),MANCHESTER,25762,25762,0,23958,23958,0,7.52984
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NEWCASTLE,562,562,0,279,279,0,101.43369
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NEWQUAY,181,181,0,223,223,0,-18.83408
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST CITY (GEORGE BEST),SOUTHAMPTON,11719,11719,0,10458,10458,0,12.05775
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,BIRMINGHAM,20167,20167,0,20647,20647,0,-2.32479
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,BRISTOL,21453,21453,0,21823,21823,0,-1.69546
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,EAST MIDLANDS INTERNATIONAL,0,0,0,263,0,263,-100
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,EDINBURGH,28126,28126,0,22503,22503,0,24.98778
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,GATWICK,51882,51882,0,90928,90928,0,-42.94167
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,GLASGOW,24726,24726,0,25558,25558,0,-3.25534
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,JERSEY,2364,2364,0,2281,2281,0,3.63875
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),40343,40343,0,39723,39723,0,1.56081
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,LUTON,28850,28850,0,28515,28515,0,1.17482
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,MANCHESTER,27318,27318,0,22519,22464,55,21.31089
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,NEWCASTLE,22955,22955,0,21983,21983,0,4.4216
09/08/2018 15:58,201805,201705,Other Reporting Airports,BELFAST INTERNATIONAL,STANSTED,60916,60832,84,30930,30930,0,96.94795
09/08/2018 15:58,201805,201705,Other Reporting Airports,BENBECULA,GLASGOW,2413,2413,0,2086,2086,0,15.67593
09/08/2018 15:58,201805,201705,Other Reporting Airports,BENBECULA,INVERNESS,14,14,0,0,0,0,0
09/08/2018 15:58,201805,201705,Other Reporting Airports,BENBECULA,STORNOWAY,792,792,0,733,733,0,8.04911
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,ABERDEEN,9571,9571,0,11583,11583,0,-17.37028
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,BELFAST CITY (GEORGE BEST),25312,25312,0,21677,21677,0,16.76893
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,BELFAST INTERNATIONAL,19978,19978,0,20422,20422,0,-2.17413
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,DONCASTER SHEFFIELD,0,0,0,89,89,0,-100
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,EAST MIDLANDS INTERNATIONAL,0,0,0,38,38,0,-100
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,EDINBURGH,23546,23546,0,22406,22406,0,5.08792
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,GLASGOW,21647,21647,0,19806,19806,0,9.29516
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,GUERNSEY,2144,2144,0,2875,2875,0,-25.42609
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,INVERNESS,4080,4080,0,3757,3757,0,8.59729
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,ISLE OF MAN,3554,3554,0,3832,3832,0,-7.2547
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,JERSEY,8049,8049,0,6017,6017,0,33.77098
09/08/2018 15:58,201805,201705,Other Reporting Airports,BIRMINGHAM,NEWQUAY,2709,2709,0,3065,3065,0,-11.61501
09/08/2018 15:58,201805,201705,Other Reporting Airports,BOURNEMOUTH,CARDIFF WALES,90,0,90,0,0,0,0
09/08/2018 15:58,201805,201705,Other Reporting Airports,BOURNEMOUTH,JERSEY,105,105,0,0,0,0,0
09/08/2018 15:58,201805,201705,Other Reporting Airports,BOURNEMOUTH,LEEDS BRADFORD,47,0,47,0,0,0,0
09/08/2018 15:58,201805,201705,Other Reporting Airports,BOURNEMOUTH,MANCHESTER,47,0,47,159,0,159,-70.44025
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,ABERDEEN,1101,1101,0,1297,1297,0,-15.1118
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,BELFAST INTERNATIONAL,21532,21532,0,21831,21831,0,-1.36961
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,EDINBURGH,34121,34121,0,33759,33714,45,1.07231
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,GATWICK,2,2,0,0,0,0,0
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,GLASGOW,26568,26568,0,26624,26624,0,-0.21034
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,GUERNSEY,2556,2556,0,2490,2490,0,2.6506
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,HAWARDEN,212,0,212,317,0,317,-33.12303
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,INVERNESS,8968,8968,0,9402,9402,0,-4.61604
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,ISLE OF MAN,3248,3248,0,2059,2059,0,57.74648
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,JERSEY,2286,2286,0,2570,2570,0,-11.05058
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,MANCHESTER,4,4,0,170,170,0,-97.64706
09/08/2018 15:58,201805,201705,Other Reporting Airports,BRISTOL,NEWCASTLE,15315,15315,0,13667,13667,0,12.05824
09/08/2018 15:58,201805,201705,Other Reporting Airports,CAMPBELTOWN,GLASGOW,936,936,0,984,984,0,-4.87805
09/08/2018 15:58,201805,201705,Other Reporting Airports,CAMPBELTOWN,TIREE,10,10,0,0,0,0,0
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,ABERDEEN,55,55,0,56,56,0,-1.78571
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,ANGLESEY (VALLEY),1357,1357,0,989,989,0,37.2093
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,BELFAST CITY (GEORGE BEST),6279,6279,0,3862,3862,0,62.58415
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,BOURNEMOUTH,76,0,76,0,0,0,0
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,EDINBURGH,9797,9797,0,8036,8036,0,21.91389
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,GLASGOW,2945,2828,117,2109,2058,51,39.63964
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,GUERNSEY,51,51,0,543,543,0,-90.60773
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,JERSEY,2213,2213,0,1615,1615,0,37.02786
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,LIVERPOOL (JOHN LENNON),0,0,0,78,0,78,-100
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,LONDON CITY,0,0,0,2262,2262,0,-100
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,NEWCASTLE,1127,1127,0,1364,1281,83,-17.37537
09/08/2018 15:58,201805,201705,Other Reporting Airports,CARDIFF WALES,SOUTHAMPTON,36,0,36,0,0,0,0
